Ref ID,Title,Year,Venue,Taxonomy Category,Reported Performance / Contribution
[40],TCIP: Topology capture,2025,Info Fusion,Reasoning (Topological),Methodology (Incongruity Perception)
,,,,,
[41],DCMG: Incongruous sentiment expressions,2025,Neurocomputing,Reasoning (Topological),Methodology (Cross-modal Mapping)
,,,,,
[42],G2SAM: Global Semantic Awareness,2024,AAAI,Reasoning (Topological),MMSD(F1)=88.48%
,,,,,
[43],KFGC-Net: Knowledge-Aware GCN,2025,TOMM,Reasoning (Knowledge),MMSD(F1)=88.91%; MMSD2.0(F1)=85.07%
,,,,,
[44],EilMoB: Emotion-aware Incongruity,2025,ICMR,Incongruity (Bridge),MMSD(F1)=90.14%; MMSD2.0(F1)=93.52%
,,,,,
[45],HQNN: Hybrid Quantum-Classical,2024,TCSS,Quantum Framework,Methodology (Quantum Entanglement)
,,,,,
[46],MMSD: Hierarchical Fusion Model,2019,ACL,Foundational/Benchmark,Contribution: Standard Twitter Dataset
,,,,,
[47],MMSD2.0: Reliable System,2023,ACL Findings,Foundational/Benchmark,Contribution: Debiased Twitter Dataset
,,,,,
[48],RCLMuFN: Relational context learning,2025,KBS,Alignment (Multiplex),MMSD(F1)=91.52%; MMSD2.0(F1)=90.25%
,,,,,
[49],KEIPN: Knowledge Enhanced,2025,Cognit. Comput.,Reasoning (Knowledge),MMSD(F1)=86.83%; MMSD2.0(F1)=84.56%
,,,,,
[50],MTAN: Multi-Task Joint Training,2024,ICMR,Era 2: Interaction,Methodology (Aggregate Networks)
,,,,,
[51],Fact-sentiment incongruity combination,2024,Info Fusion,Incongruity (Sentiment),Methodology (Fact vs. Sentiment)
,,,,,
[52],Context-aware multimodal fusion,2024,KBS,Incongruity (Sentiment),Methodology (Inter-modality Inconsistency)
,,,,,
[53],Context-Aware Dual Attention,2024,ICASSP,Era 2: Interaction,Methodology (Dual Attention)
,,,,,
[54],MV-BART: Multi-view BART,2024,CIKM,Incongruity (Sentiment),Methodology (Multi-view Interactions)
,,,,,
[55],Ensemble Net Model,2025,Knowl. Inf. Syst.,Era 1: Efficiency,Methodology (Ensemble Learning)
,,,,,
[56],Dual-level adaptive incongruity,2025,Neurocomputing,Incongruity (Adaptive),Methodology (Adaptive Incongruity)
,,,,,
[57],Sarcasm with induced sentimental cues (SDO-BCRT),2025,Neurocomputing,Era 1: Optimization,Methodology (Heuristic Search / Callousness)
,,,,,
[58],MDSAN: Deep semantic alignment,2024,KBS,Alignment,Methodology (Sinkhorn Distance)
,,,,,
[59],SarcasmBench: Evaluating LLMs,2025,TAFFC,Benchmark,Contribution: SarcasmBench Dataset
,,,,,
[60],PEDE: Prompted Emotion Distributions,2025,ICASSP,Era 2: Interaction,Methodology (Video Emotion Prompts)
,,,,,
[61],DDMGF: Dual dynamic multi-granularity,2025,Neurocomputing,Era 2: Interaction,Methodology (Multi-granularity Fusion)
,,,,,
[62],Image-text fusion transformer,2024,Multimed. Tools Appl.,Era 1: Feature Engineering,Methodology (Transformer Fusion)
